
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.2    rss= 33.297 Mbyte     virtual= 22.254 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.2    rss= 33.297 Mbyte     virtual= 22.254 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 32.488 Mbyte     virtual= 22.188 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 33.020 Mbyte     virtual= 22.254 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 33.297 Mbyte     virtual= 22.254 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 33.297 Mbyte     virtual= 22.254 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 33.297 Mbyte     virtual= 22.254 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.3    ctime=00:00:00.3    rss= 65.703 Mbyte     virtual= 54.477 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 65.703 Mbyte     virtual= 54.477 Mbyte     

  4. Frequency 6 GHz                                : etime=00:00:02.4    ctime=00:00:04.4    rss=292.277 Mbyte     virtual=329.551 Mbyte     
     1. Frequency 6 GHz                             : etime=00:00:02.4    ctime=00:00:04.4    rss=292.117 Mbyte     virtual=329.551 Mbyte     
        1. constructing matrix                      : etime=00:00:00.6    ctime=00:00:01.2    rss= 65.828 Mbyte     virtual= 54.477 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 65.828 Mbyte     virtual= 54.477 Mbyte     
           2. 3d                                    : etime=00:00:00.5    ctime=00:00:01.1    rss= 65.828 Mbyte     virtual= 54.477 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 65.828 Mbyte     virtual= 54.477 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:01.6    ctime=00:00:02.7    rss=287.996 Mbyte     virtual=325.727 Mbyte     
        3. constructing excitation (48204 x 2)      : etime=00:00:00.0    ctime=00:00:00.0    rss=289.469 Mbyte     virtual=327.191 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.1    ctime=00:00:00.1    rss=291.156 Mbyte     virtual=328.676 Mbyte     
        5. error estimation                         : etime=00:00:00.1    ctime=00:00:00.3    rss=292.117 Mbyte     virtual=329.551 Mbyte     
