# Time(s) Real Imag
4.3373209635e-04 4.4348770909e-03 -9.9541286716e-03
4.3374023438e-04 -1.0699963403e-02 -4.1949730913e-03
4.3374837240e-04 3.0941079921e-03 -1.0395783142e-02
4.3375651042e-04 1.4192687146e-02 -1.4350924116e-02
4.3376464844e-04 5.0469696719e-03 -1.6886074730e-02
4.3377278646e-04 -5.0302902063e-03 -5.6451016061e-03
4.3378092448e-04 -1.1003612274e-03 1.1280502169e-02
4.3378906250e-04 1.4856541362e-02 1.3717721963e-03
4.3379720052e-04 9.8069070396e-03 3.2140274337e-03
4.3380533854e-04 6.8407237314e-04 1.8212309686e-03
4.3381347656e-04 1.8159583946e-03 -1.0125421804e-02
4.3382161458e-04 -2.6628941470e-03 4.5606136962e-03
4.3382975260e-04 8.5618888679e-03 3.6076990347e-03
4.3383789063e-04 6.1227091028e-03 -2.7795535247e-03
4.3384602865e-04 -9.7094551814e-03 -5.0735318659e-03
4.3385416667e-04 9.4814843705e-03 -2.2511380249e-02
4.3386230469e-04 7.0207788578e-03 -8.5798192922e-03
4.3387044271e-04 -1.0762085431e-02 1.2082916567e-02
4.3387858073e-04 2.9607334645e-03 6.6063448652e-03
4.3388671875e-04 3.9777605074e-04 -7.5120806437e-03
4.3389485677e-04 -7.9109662528e-03 -2.3198207332e-02
4.3390299479e-04 -1.1898190777e-02 -1.2754773266e-02
4.3391113281e-04 -8.0133990283e-03 -3.1617694524e-03
4.3391927083e-04 1.6357654352e-02 -8.6507990747e-03
4.3392740885e-04 5.8591675626e-03 2.1960451729e-03
4.3393554688e-04 -2.0492085244e-03 2.0911980935e-03
4.3394368490e-04 3.1854101021e-03 4.2552458324e-03
4.3395182292e-04 -2.5195135301e-02 1.0494531172e-02
4.3395996094e-04 -1.4939553802e-02 -1.3885079555e-02
4.3396809896e-04 1.0358297521e-02 -1.5308328369e-03
4.3397623698e-04 -1.9907698531e-03 3.2543766059e-02
4.3398437500e-04 -1.1540999084e-02 5.8581450256e-03
4.3399251302e-04 -1.3842624437e-02 -9.7507002952e-03
4.3400065104e-04 6.7300238891e-03 1.0867122473e-02
4.3400878906e-04 1.4065092897e-02 8.1288509408e-03
4.3401692708e-04 -7.5037996973e-03 1.4343734458e-03
4.3402506510e-04 -2.0871784531e-03 -5.5432144557e-03
4.3403320313e-04 3.5659211165e-03 -1.2599872199e-02
4.3404134115e-04 -6.3064689686e-04 -3.2579783626e-03
4.3404947917e-04 -3.1150357695e-03 -3.8794538380e-04
4.3405761719e-04 1.4674970898e-04 -4.7733648343e-03
4.3406575521e-04 9.4534406397e-03 -7.9640300663e-03
4.3407389323e-04 -6.6814019365e-03 2.0184486808e-04
4.3408203125e-04 -4.0418019116e-03 8.5038872492e-03
4.3409016927e-04 2.6656003426e-03 8.0131303100e-04
4.3409830729e-04 -2.3536210971e-02 1.3379357340e-02
4.3410644531e-04 -1.3816237133e-02 7.0395801854e-03
4.3411458333e-04 1.5774438332e-03 -2.8005294872e-02
4.3412272135e-04 -1.7942941200e-03 -1.5760734862e-02
4.3413085938e-04 7.5271490216e-03 1.2620808146e-03
4.3413899740e-04 8.1849175824e-03 3.2320530246e-03
4.3414713542e-04 1.2701021497e-02 6.6453634344e-03
4.3415527344e-04 1.3515589834e-02 -1.2310821935e-02
4.3416341146e-04 9.5918140330e-03 -6.7107816240e-03
4.3417154948e-04 1.2441756298e-02 1.4870151944e-03
4.3417968750e-04 -6.5491063058e-04 -1.3695920912e-02
4.3418782552e-04 -8.5401082209e-03 1.6627434548e-03
4.3419596354e-04 -6.9086876067e-03 9.5608367858e-03
4.3420410156e-04 -3.9470867007e-03 -5.8100152665e-03
4.3421223958e-04 -1.0618763237e-03 -6.7824542615e-03
4.3422037760e-04 -1.1236056348e-03 -8.1844362694e-04
4.3422851563e-04 8.0672649435e-03 2.1394660579e-03
4.3423665365e-04 1.0431748331e-03 -2.2110500308e-03
4.3424479167e-04 -1.8505317111e-03 1.0250075911e-03
4.3425292969e-04 1.0650936255e-02 5.4006541381e-03
4.3426106771e-04 1.1104747905e-02 1.2031913352e-03
4.3426920573e-04 2.0556175365e-02 1.7112754081e-03
4.3427734375e-04 6.1720969214e-03 -7.6859298005e-03
4.3428548177e-04 -9.8050432036e-03 -7.1167430365e-03
4.3429361979e-04 7.8679947986e-03 4.5433935663e-03
4.3430175781e-04 3.5826276016e-03 -4.8951429948e-03
4.3430989583e-04 6.7441637184e-03 -2.3817057095e-03
4.3431803385e-04 2.4001500749e-05 1.1502725478e-02
4.3432617188e-04 -3.1384759757e-02 5.1923925345e-03
4.3433430990e-04 -1.8166837219e-02 -2.5279587263e-03
4.3434244792e-04 -4.5372395763e-03 1.8001266824e-03
4.3435058594e-04 -3.2666950770e-03 8.5358191366e-04
4.3435872396e-04 3.7208036658e-03 -8.1595956644e-03
4.3436686198e-04 -9.9589547758e-04 4.4374072830e-03
4.3437500000e-04 9.3692691061e-03 1.5827791163e-02
4.3438313802e-04 1.2406504240e-02 1.7617712555e-03
4.3439127604e-04 2.5092290903e-03 3.7292846118e-03
4.3439941406e-04 -1.6567455364e-03 2.2630113569e-03
4.3440755208e-04 -1.0916255788e-03 -1.4032935045e-02
4.3441569010e-04 7.4841251636e-03 -3.8134697315e-05
4.3442382813e-04 -6.6423078530e-03 1.7092690640e-02
4.3443196615e-04 -1.1635765411e-02 1.1804843673e-02
4.3444010417e-04 5.7271795180e-03 6.3374209018e-03
4.3444824219e-04 1.5294928889e-03 2.9135770730e-04
4.3445638021e-04 -7.4480388533e-03 -5.8392392319e-03
4.3446451823e-04 -1.4113632723e-02 1.5796408472e-03
4.3447265625e-04 -6.6362653440e-04 7.7723122637e-03
4.3448079427e-04 1.1224456054e-02 -7.0523287562e-03
4.3448893229e-04 -4.1680767417e-03 -1.0826291321e-02
4.3449707031e-04 7.6809422438e-03 6.5867579200e-03
4.3450520833e-04 6.9085649592e-03 8.0790927855e-03
4.3451334635e-04 -8.8078905830e-03 1.2485370120e-03
4.3452148438e-04 8.7205395926e-03 1.0912315875e-03
4.3452962240e-04 9.1465774528e-03 2.5649832325e-03
4.3453776042e-04 7.9691237571e-03 9.3097766582e-03
4.3454589844e-04 5.4273039645e-03 1.2232038220e-02
4.3455403646e-04 -1.5604495855e-02 1.1002278704e-02
4.3456217448e-04 -5.2584875024e-03 1.4849776374e-02
4.3457031250e-04 2.7334336479e-03 1.4635943106e-02
4.3457845052e-04 -4.7124521175e-03 1.3216286310e-03
4.3458658854e-04 8.8633640598e-03 -8.4911517470e-03
4.3459472656e-04 1.7544780378e-02 -1.3206245743e-03
4.3460286458e-04 1.0088952873e-02 9.6706266019e-04
4.3461100260e-04 4.8594800583e-03 -3.7522595620e-03
4.3461914063e-04 -1.5768268212e-03 8.3127928480e-04
4.3462727865e-04 -1.7320007199e-02 7.6887665824e-03
4.3463541667e-04 -1.3937947590e-02 1.1103443942e-02
4.3464355469e-04 4.7163451806e-03 7.2861365467e-03
4.3465169271e-04 7.6530974020e-03 5.4967750683e-03
4.3465983073e-04 7.3459644438e-03 3.4521898901e-03
4.3466796875e-04 -3.6007161914e-03 -1.1996790836e-02
4.3467610677e-04 -3.9846658367e-03 -1.1217988001e-02
4.3468424479e-04 1.0720455021e-02 -3.2677070348e-03
4.3469238281e-04 -7.0655275020e-03 -7.2395302788e-03
4.3470052083e-04 -1.2486621659e-02 9.0894017385e-03
4.3470865885e-04 5.9654833358e-03 1.8800721974e-02
4.3471679688e-04 7.2411172910e-03 2.8286883282e-04
4.3472493490e-04 1.1676283827e-03 -1.2635209682e-02
4.3473307292e-04 -6.4199129451e-03 -1.1547678369e-02
4.3474121094e-04 -9.1745302353e-04 3.2994684361e-03
4.3474934896e-04 -7.8330466886e-03 4.7899555797e-03
4.3475748698e-04 -1.9068560964e-02 -1.0186018711e-02
4.3476562500e-04 -1.3434053093e-03 -5.2381817770e-03
4.3477376302e-04 -6.7864291695e-03 -3.8662220447e-03
4.3478190104e-04 -3.6519924766e-03 -7.9199456321e-03
4.3479003906e-04 1.4318132927e-02 5.8847621592e-04
4.3479817708e-04 -3.5754823183e-03 -6.2332155666e-03
4.3480631510e-04 1.9802755389e-03 -1.2922389094e-02
4.3481445313e-04 8.3869516153e-03 8.5055966168e-04
4.3482259115e-04 -1.1996247473e-02 1.4572407776e-02
4.3483072917e-04 -5.8221982263e-03 1.1521375637e-02
4.3483886719e-04 3.4397582611e-03 -6.6860196951e-03
4.3484700521e-04 1.1025320724e-03 -1.4252241616e-02
4.3485514323e-04 -1.0923820362e-03 -1.4970017420e-02
4.3486328125e-04 2.2319944821e-03 -1.7282283256e-02
4.3487141927e-04 -5.4544954581e-04 -1.1389463050e-02
4.3487955729e-04 -1.6969195417e-02 -1.2754427344e-02
4.3488769531e-04 -6.0831101799e-03 -8.2020183547e-03
4.3489583333e-04 6.0093585365e-03 2.3077678031e-03
4.3490397135e-04 7.1932892795e-05 8.1580790289e-04
4.3491210938e-04 6.9218365027e-03 1.0557836226e-02
4.3492024740e-04 1.1103450750e-02 1.3930050446e-02
4.3492838542e-04 1.4196904728e-02 8.7470602099e-03
4.3493652344e-04 4.3700313128e-03 1.0161119490e-02
4.3494466146e-04 -6.4041206852e-03 -6.9710889843e-03
4.3495279948e-04 1.1062059469e-02 -2.6298887486e-03
4.3496093750e-04 7.9128169795e-03 1.5815705315e-02
4.3496907552e-04 -3.2351974729e-03 -3.7670818185e-03
4.3497721354e-04 9.5479542387e-03 -2.2065320395e-03
4.3498535156e-04 5.6916820561e-03 1.6734372608e-02
4.3499348958e-04 -1.1165105085e-02 -1.0777734382e-03
4.3500162760e-04 1.6953095131e-03 -1.1608287635e-02
